Quarter,Department,Budget_USD,Actual_USD,Variance_USD,Variance_Pct
Q1-2024,Marketing,1738976.83,1606856.94,-132119.9,-7.6
Q2-2024,Marketing,1734866.63,1775191.94,40325.31,2.32
Q3-2024,Marketing,1653438.61,1494698.55,-158740.06,-9.6
Q4-2024,Marketing,1656710.8,1590591.59,-66119.22,-3.99
Q1-2025,Marketing,1579545.22,1636745.66,57200.44,3.62
Q2-2025,Marketing,1558458.78,1641493.01,83034.22,5.33
Q3-2025,Marketing,1773613.01,2270224.65,496611.64,28.0
Q4-2025,Marketing,1544889.94,1727388.99,182499.04,11.81
Q1-2024,R&D,1676651.59,1686613.49,9961.9,0.59
Q2-2024,R&D,1708909.31,1623284.4,-85624.91,-5.01
Q3-2024,R&D,1754354.04,1602564.74,-151789.3,-8.65
Q4-2024,R&D,1673595.74,1924635.1,251039.36,15.0
Q1-2025,R&D,1692343.0,1674500.28,-17842.72,-1.05
Q2-2025,R&D,1798135.45,1668528.92,-129606.53,-7.21
Q3-2025,R&D,1729695.62,1768059.4,38363.78,2.22
Q4-2025,R&D,1611533.37,1853263.38,241730.01,15.0
Q1-2024,Sales,1118013.1,1001306.37,-116706.72,-10.44
Q2-2024,Sales,1251813.42,1391705.69,139892.26,11.18
Q3-2024,Sales,1227663.5,1170095.05,-57568.45,-4.69
Q4-2024,Sales,1105489.84,1154370.09,48880.26,4.42
Q1-2025,Sales,1164362.21,1058741.96,-105620.26,-9.07
Q2-2025,Sales,1173820.91,1042650.23,-131170.68,-11.17
Q3-2025,Sales,1245012.18,1172934.93,-72077.25,-5.79
Q4-2025,Sales,1202587.58,1148243.44,-54344.14,-4.52
Q1-2024,Operations,1877018.86,1907516.81,30497.95,1.62
Q2-2024,Operations,1826335.35,1976365.78,150030.43,8.21
Q3-2024,Operations,1946406.95,1897427.67,-48979.27,-2.52
Q4-2024,Operations,2083254.76,2196886.47,113631.71,5.45
Q1-2025,Operations,1911050.87,1943360.16,32309.28,1.69
Q2-2025,Operations,1966803.39,2184491.72,217688.33,11.07
Q3-2025,Operations,2059688.99,2181945.59,122256.6,5.94
Q4-2025,Operations,1972214.66,2013276.72,41062.06,2.08
Q1-2024,G&A,710372.37,717651.59,7279.23,1.02
Q2-2024,G&A,695335.26,745766.03,50430.77,7.25
Q3-2024,G&A,688206.74,768625.67,80418.93,11.69
Q4-2024,G&A,763139.09,707957.85,-55181.24,-7.23
Q1-2025,G&A,680793.08,732336.42,51543.35,7.57
Q2-2025,G&A,756116.48,797673.94,41557.46,5.5
Q3-2025,G&A,763034.44,685029.97,-78004.46,-10.22
Q4-2025,G&A,718699.22,652441.31,-66257.91,-9.22
